URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.89,2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/MedicationKnowledgePDH","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.375,2.16.840.1.113883.4.642.2.199,2.16.840.1.113883.4.642.3.360",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/MedicationKnowledgePDH","SCT"
http://hl7.org/fhir/ValueSet/medication-cost-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3230",MedicationCostCategoryCodes,Medication Cost Category Codes,"Medication Cost Category Codes","StructureDefinition/MedicationKnowledgePDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medication-ingredientstrength,5.0.0,draft,"2.16.840.1.113883.4.642.3.1953",MedicationIngredientStrengthCodes,Medication Ingredient Strength Codes,"Medication Ingredient Strength Codes","StructureDefinition/MedicationKnowledgePDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicationknowledge-characteristic,5.0.0,draft,"2.16.840.1.113883.4.642.3.1337",MedicationKnowledgeCharacteristicCodes,medicationKnowledge Characteristic Codes,"MedicationKnowledge Characteristic Codes","StructureDefinition/MedicationKnowledgePDH","THO"
http://hl7.org/fhir/ValueSet/medicationknowledge-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.1335",MedicationKnowledgeStatusCodes,MedicationKnowledge Status Codes,"MedicationKnowledge Status Codes","StructureDefinition/MedicationKnowledgePDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/product-intended-use,5.0.0,draft,"2.16.840.1.113883.4.642.3.2996",ProductIntendedUse,Product Intended Use,"The overall intended use of a product.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.3.3",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/quantity-comparator,5.0.0,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/MedicationKnowledgePDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/route-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/MedicationKnowledgePDH","SCT"
http://hl7.org/fhir/ValueSet/therapy,5.0.0,draft,"2.16.840.1.113883.4.642.3.3112",Therapy,Therapy,"A therapy.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","SCT"
http://hl7.org/fhir/ValueSet/therapy-relationship-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3113",TherapyRelationshipType,Therapy Relationship Type,"Classification of relationship between a therapy and a contraindication or an indication.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/undesirable-effect-classification,5.0.0,draft,"2.16.840.1.113883.4.642.3.3116",UndesirableEffectClassification,Undesirable Effect Classification,"A categorisation for an undesirable effect.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","SCT"
http://hl7.org/fhir/ValueSet/undesirable-effect-frequency,5.0.0,draft,"2.16.840.1.113883.4.642.3.3118",UndesirablEffectFrequency,Undesirabl Effect Frequency,"A categorisation for a frequency of occurence of an undesirable effect.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/undesirable-effect-symptom,5.0.0,draft,"2.16.840.1.113883.4.642.3.3106",UndesirableEffectSymptom,Undesirable Effect Symptom,"An undesirable effect of clinical use.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","SCT"
http://hl7.org/fhir/ValueSet/warning-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3104",WarningType,Warning Type,"Classification of warning type.","StructureDefinition/IndicacoesPDH,StructureDefinition/ContraIndicacoesPDH,StructureDefinition/InteracoesPDH","hl7.fhir.r5.core"
http://terminology.hl7.org/ValueSet/dose-rate-type,2.0.0,active,"2.16.840.1.113883.4.642.3.981",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","StructureDefinition/MedicationKnowledgePDH","THO"
http://terminology.hl7.org/ValueSet/v3-RoleClassIngredientEntity,3.0.0,active,"2.16.840.1.113883.1.11.10430",RoleClassIngredientEntity,RoleClassIngredientEntity,"Relates a component (player) to a mixture (scoper). E.g., Glucose and Water are ingredients of D5W, latex may be an ingredient in a tracheal tube.","StructureDefinition/MedicationKnowledgePDH","THO (V3)"
